"tid1","tid2","score"
1,2,0.747388502573177
1,3,0.532322434676168
1,4,0.727670025705492
1,5,0.733358989602662
1,6,0.894716495473648
1,7,0.473955342438646
1,8,0.621898042864323
1,9,0.771798448993076
1,10,0.564934429362773
1,11,0.64874739253321
1,12,0.602047124331111
1,13,0.594492339775632
1,14,0.666958618761289
1,15,0.633954851235703
1,16,0.655123705602126
1,17,0.558283386765639
1,18,0.671272696997676
1,19,0.623214212425271
1,20,0.506544411044135
1,21,0.572340070929208
1,22,0.644452655063208
1,23,0.640773967636234
1,24,0.709451307407051
1,25,0.898266453804631
1,121,0.115139527980497
1,122,0.139557329023102
1,124,0.127218209614266
1,125,0.111249783502368
1,126,0.118134141572402
1,127,0.109104610580659
1,128,0.187577309611331
2,1,0.747388502573177
2,3,0.446016791753838
2,4,0.677082303247244
2,5,0.621629082045098
2,6,0.834797788798138
2,7,0.392873047744851
2,8,0.526815995653586
2,9,0.657151110232111
2,10,0.47262166062906
2,11,0.549310296914782
2,12,0.544514364344046
2,13,0.502442530740382
2,14,0.607994426252434
2,15,0.640478237233515
2,16,0.678052068145233
2,17,0.473538443417269
2,18,0.631963592951881
2,19,0.755236303751008
2,20,0.475074176777749
2,21,0.485410184600576
2,22,0.588063696426285
2,23,0.544435401414531
2,24,0.597388274904428
2,25,0.76299984975897
2,121,0.115852410514355
2,122,0.140405294178562
2,124,0.128061644612167
2,125,0.111888850902659
2,126,0.144419774873604
2,127,0.109744513922043
2,128,0.188934720070125
3,1,0.532322434676168
3,2,0.446016791753838
3,4,0.433838791187535
3,5,0.441368689588788
3,6,0.539887387340696
3,7,0.29124960059476
3,8,0.544165815671745
3,9,0.501639044808396
3,10,0.353903423534679
3,11,0.417802240216925
3,12,0.467588714488669
3,13,0.423154846519203
3,14,0.479028746599263
3,15,0.407181094844369
3,16,0.395329766005887
3,17,0.520829654666608
3,18,0.470232028121254
3,19,0.374765120100744
3,20,0.314882754708379
3,21,0.410863612517403
3,22,0.43714887314139
3,23,0.416635484278575
3,24,0.448906992221175
3,25,0.577247846052105
3,121,0.110288010747814
3,122,0.172136179309549
3,124,0.12149767163483
3,125,0.106885480069918
3,126,0.113032571368946
3,127,0.104738697333177
3,128,0.178413751930471
4,1,0.727670025705492
4,2,0.677082303247244
4,3,0.433838791187535
4,5,0.657005794473106
4,6,0.812569156936439
4,7,0.600087562650116
4,8,0.513103177093225
4,9,0.640167407692441
4,10,0.502117420581378
4,11,0.534906884571487
4,12,0.492384933317534
4,13,0.48924702840486
4,14,0.553969689217639
4,15,0.521964727663381
4,16,0.594560329532504
4,17,0.461449171420743
4,18,0.548779896076881
4,19,0.513692490301897
4,20,0.410178105238138
4,21,0.47297698203061
4,22,0.536452030870625
4,23,0.530473707582753
4,24,0.581047262267815
4,25,0.742644891667346
4,121,0.115496649331597
4,126,0.209550826152842
4,127,0.109425224620567
4,128,0.128089950912734
5,1,0.733358989602662
5,2,0.621629082045098
5,3,0.441368689588788
5,4,0.657005794473106
5,6,0.745563978290558
5,7,0.426611096411354
5,8,0.520130037927285
5,9,0.698586445163785
5,10,0.553785982120799
5,11,0.541902430731165
5,12,0.499776258151147
5,13,0.496408602927521
5,14,0.560635282623993
5,15,0.529048292279855
5,16,0.63770307728727
5,17,0.468464140979857
5,18,0.556042618547142
5,19,0.583637206280059
5,20,0.417907519269183
5,21,0.479996316536542
5,22,0.543092700465721
5,23,0.53733279145333
5,24,0.588108218212278
5,25,0.748252836928318
5,121,0.113531911869134
5,122,0.137431935957038
5,124,0.103555808057395
5,127,0.107651431572389
5,128,0.159713825264093
6,1,0.894716495473648
6,2,0.834797788798138
6,3,0.539887387340696
6,4,0.812569156936439
6,5,0.745563978290558
6,7,0.48049452857532
6,8,0.631179885205991
6,9,0.784724851366924
6,10,0.573389559610615
6,11,0.658746421967445
6,12,0.611227128460982
6,13,0.603204425064311
